Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
184,84.26,0.35,82.94,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
185,85.69,0.29,82.94,1.59,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
186,88.16,0.23,83.83,1.64,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
187,91.13,0.17,83.5,1.29,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
188,92.62,0.39,82.94,1.36,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
189,94.53,0.27,83.27,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
190,98.54,0.16,82.71,1.13,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
191,98.63,0.13,81.93,1.16,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
192,85.47,0.24,83.72,1.6,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
193,87.57,0.2,83.27,1.5,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
194,90.15,0.38,82.49,1.23,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
195,92.12,0.22,82.15,1.32,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
196,93.41,0.12,82.6,1.34,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
197,94.64,0.23,82.82,1.57,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
198,98.26,0.2,81.48,1.27,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
199,98.93,0.09,81.25,1.0,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
200,84.96,0.31,83.5,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
201,87.23,0.33,82.94,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
202,89.28,0.34,82.71,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
203,90.85,0.22,83.16,1.6,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
204,92.42,0.13,83.61,1.67,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
205,93.77,0.19,83.27,1.71,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
206,95.88,0.06,81.59,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
207,95.88,0.06,81.25,1.42,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
208,85.47,0.2,83.5,1.68,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
209,87.6,0.2,83.27,1.5,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
210,90.1,0.38,82.6,1.21,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
211,92.2,0.25,82.15,1.21,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
212,93.46,0.12,82.6,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
213,94.67,0.26,82.49,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
214,98.26,0.2,82.04,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
215,98.93,0.09,81.82,1.08,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
216,85.55,0.21,83.5,1.68,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
217,87.6,0.2,83.27,1.5,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
218,90.1,0.38,82.6,1.21,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
219,92.17,0.23,82.04,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
220,93.46,0.12,82.6,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
221,94.67,0.26,82.49,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
222,98.26,0.2,82.04,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
223,98.93,0.09,82.04,1.17,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
224,85.16,0.28,83.16,1.5,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
225,87.4,0.37,83.16,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
226,89.79,0.38,83.39,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
227,91.95,0.21,82.6,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
228,93.04,0.22,82.94,1.28,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
229,94.25,0.19,83.05,1.54,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
230,98.2,0.21,82.15,1.2,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
231,98.93,0.09,80.92,1.23,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
232,84.57,0.28,83.39,1.38,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
233,86.62,0.33,83.05,1.46,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
234,89.11,0.35,83.61,1.77,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
235,90.99,0.22,83.27,1.92,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
236,92.4,0.15,83.39,1.83,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
237,93.55,0.19,83.83,1.72,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
238,95.96,0.07,81.47,1.94,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
239,95.96,0.07,81.47,1.88,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
240,85.24,0.27,82.94,1.43,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
241,87.46,0.37,83.16,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
242,89.81,0.37,83.39,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
243,91.92,0.27,82.71,1.41,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
244,93.04,0.22,82.94,1.27,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
245,94.22,0.2,83.16,1.57,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
246,98.18,0.22,82.6,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
247,98.93,0.09,81.48,1.27,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
248,85.24,0.27,82.94,1.43,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
249,87.46,0.37,83.16,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
250,89.81,0.37,83.39,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
251,91.92,0.27,82.71,1.41,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
252,93.04,0.22,82.94,1.27,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
253,94.22,0.2,83.27,1.63,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
254,98.15,0.22,82.6,1.63,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
255,98.93,0.09,81.7,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
256,84.82,0.23,83.5,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
257,87.12,0.32,83.16,1.77,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
258,89.7,0.27,83.27,1.58,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
259,92.12,0.11,82.94,1.26,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
260,93.66,0.3,82.83,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
261,94.84,0.25,83.28,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
262,98.23,0.2,82.49,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
263,98.93,0.09,81.48,1.23,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
264,84.34,0.35,83.27,1.42,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
265,86.45,0.33,82.49,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
266,89.06,0.28,83.05,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
267,90.85,0.27,82.82,1.8,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
268,92.54,0.15,82.71,1.73,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
269,93.55,0.24,82.38,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
270,95.9,0.09,81.25,1.66,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
271,95.96,0.07,81.03,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
272,84.82,0.23,83.27,1.68,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
273,87.12,0.32,83.16,1.77,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
274,89.76,0.27,83.27,1.58,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
275,92.14,0.12,82.82,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
